,id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,diff
388,128,Princess Mononoke,1,8.2,8.4,1997-07-12,"[12, 14, 16]",-0.20000000000000107
389,303858,Money Monster,1,7.5,6.5,2016-05-12,"[53, 18]",1.0
390,3082,Modern Times,1,7.5,8.3,1936-02-11,"[35, 18]",-0.8000000000000007
391,10510,Miracle on 34th Street,1,7.9,6.6,1994-11-18,"[14, 18, 10751]",1.3000000000000007
392,582885,Cuties,1,7.8,5.1,2020-08-19,[18],2.7
393,11327,Midnight Express,1,7.4,7.6,1978-08-31,"[18, 80]",-0.1999999999999993
394,546554,Knives Out,1,7.3,7.9,2019-11-27,"[9648, 35, 18, 80]",-0.6000000000000005
395,351286,Jurassic World: Fallen Kingdom,1,5.3,6.6,2018-06-06,"[28, 12, 878]",-1.2999999999999998
396,575817,Your Turn,1,6.4,6.9,2019-08-15,[99],-0.5
397,8461,Funny Games,1,6.7,6.5,2007-10-20,"[80, 27, 53, 18]",0.20000000000000018
398,399031,Happy End,1,6.4,6.1,2017-06-21,[18],0.3000000000000007
399,6461,Cherry Blossoms,1,10.0,7.7,2008-03-05,"[18, 10749]",2.3
400,270487,"Hail, Caesar!",1,6.4,5.9,2016-02-05,"[35, 18, 9648]",0.5
401,490132,Green Book,1,7.5,8.3,2018-11-16,"[18, 35]",-0.8000000000000007
402,120467,The Grand Budapest Hotel,1,8.9,8.0,2014-02-26,"[35, 18]",0.9000000000000004
403,257445,Goosebumps,1,6.5,6.3,2015-08-05,"[12, 27, 35]",0.20000000000000018
404,338,Good Bye Lenin!,1,7.9,7.5,2003-02-09,"[35, 18]",0.40000000000000036
405,419430,Get Out,1,7.5,7.6,2017-02-24,"[9648, 53, 27]",-0.09999999999999964
406,8016,Germany Year Zero,1,7.1,7.7,1948-12-01,"[10752, 18]",-0.6000000000000005
407,576017,For Sama,1,7.9,8.4,2019-10-09,"[99, 10752]",-0.5
408,109445,Frozen,1,5.6,7.3,2013-11-27,"[16, 12, 10751]",-1.7000000000000002
409,152601,Her,1,7.3,7.9,2013-12-18,"[10749, 878, 18]",-0.6000000000000005
410,515042,Free Solo,1,7.0,8.0,2018-09-28,[99],-1.0
411,9343,Fitzcarraldo,1,6.9,7.7,1982-03-02,"[18, 12]",-0.7999999999999998
